address	length	data_type	value
10036c00	9	string	winsig.c
10036c0c	19	string	GetLastActivePopup
10036c20	16	string	GetActiveWindow
10036c30	12	string	MessageBoxA
10036c3c	11	string	user32.dll
10036c48	10	string	setvbuf.c
10036c9c	11	string	tidtable.c
10036d24	8	string	mlock.c
10036d48	17	string	Assertion Failed
10036d5c	6	string	Error
10036d64	8	string	Warning
10036d6c	12	string	%s(%d) : %s
10036d7c	19	string	Assertion failed:\s
10036d90	43	string	_CrtDbgReport: String too long or IO Error
10036dbc	50	string	Second Chance Assertion Failed: File %s, Line %d\n
10036df0	10	string	wsprintfA
10036dfc	35	string	Microsoft Visual C++ Debug Library
10036e20	83	string	Debug %s!\n\nProgram: %s%s%s%s%s%s%s%s%s%s%s\n\n(Press Retry to debug the application)
10036e74	10	string	\nModule:\s
10036e80	8	string	\nFile:\s
10036e88	8	string	\nLine:\s
10036e94	115	string	\n\nFor information on how your program can cause an assertion\nfailure, see the Visual C++ documentation on asserts.
10036f08	9	string	dbgrpt.c
10036f14	22	string	szUserMessage != NULL
10036f90	23	string	__GLOBAL_HEAP_SELECTED
10036fa8	21	string	__MSVCRT_HEAP_SELECT
10036fc0	64	string	("inconsistent IOB fields", stream->_ptr - stream->_base >= 0)
10037000	10	string	_flsbuf.c
1003706c	10	unicode	ull)
10037080	9	string	output.c
1003708c	15	string	ch != _T('\\0')
1003709c	9	string	ioinit.c
100370a8	10	string	stdenvp.c
100370b4	10	string	stdargv.c
100370c0	8	string	a_env.c
100370c8	16	string	runtime error\s
100370dc	16	string	TLOSS error\r\n
100370ec	16	string	SING error\r\n
100370fc	16	string	DOMAIN error\r\n
1003710c	40	string	R6028\r\n- unable to initialize heap\r\n
10037134	56	string	R6027\r\n- not enough space for lowio initialization\r\n
1003716c	56	string	R6026\r\n- not enough space for stdio initialization\r\n
100371a4	40	string	R6025\r\n- pure virtual function call\r\n
100371cc	56	string	R6024\r\n- not enough space for _onexit/atexit table\r\n
10037204	44	string	R6019\r\n- unable to open console device\r\n
10037230	36	string	R6018\r\n- unexpected heap error\r\n
10037254	48	string	R6017\r\n- unexpected multithread lock error\r\n
10037284	44	string	R6016\r\n- not enough space for thread data\r\n
100372b0	36	string	\r\nabnormal program termination\r\n
100372d4	44	string	R6009\r\n- not enough space for environment\r\n
10037300	44	string	R6008\r\n- not enough space for arguments\r\n
1003732c	37	string	R6002\r\n- floating point not loaded\r\n
10037354	26	string	Runtime Error!\n\nProgram:\s
10037370	10	string	_sftbuf.c
1003737c	23	string	flag == 0 || flag == 1
100373d0	11	string	_freebuf.c
100373dc	15	string	stream != NULL
10037404	10	string	_getbuf.c
10037410	9	string	fclose.c
1003741c	8	string	LC_TIME
10037424	11	string	LC_NUMERIC
10037430	12	string	LC_MONETARY
1003743c	9	string	LC_CTYPE
10037448	11	string	LC_COLLATE
10037454	8	string	LC_ALL
10037464	11	string	setlocal.c
10037498	7	string	1#QNAN
100374a0	6	string	1#INF
100374a8	6	string	1#IND
100374b0	7	string	1#SNAN
100374b8	10	string	osfinfo.c
10037508	8	string	floor
10037578	11	string	inittime.c
10037584	10	string	initnum.c
10037590	10	string	initmon.c
1003759c	11	string	initctyp.c
100375a8	12	string	Paraguay
100375bc	8	string	Chile
100375c4	8	string	Ecuador
100375cc	12	string	Argentina
100375e0	12	string	Colombia
100375ec	12	string	Venezuela
100375f8	20	string	Dominican Republic
1003760c	16	string	South Africa
1003761c	8	string	Panama
10037624	12	string	Luxembourg
10037630	12	string	Costa Rica
1003763c	12	string	Switzerland
10037648	12	string	Guatemala
10037654	8	string	Canada
1003765c	24	string	Spanish - Modern Sort
10037674	12	string	Australia
10037680	8	string	English
10037688	8	string	Austria
10037690	8	string	German
10037698	8	string	Belgium
100376a0	8	string	Mexico
100376a8	8	string	Spanish
100376b0	8	string	Basque
100376b8	8	string	Sweden
100376c0	8	string	Swedish
100376c8	8	string	Iceland
100376d0	12	string	Icelandic
100376dc	8	string	France
100376e4	8	string	French
100376ec	8	string	Finland
100376f4	8	string	Finnish
100376fc	6	string	Spain
10037704	27	string	Spanish - Traditional Sort
10037720	16	string	united-states
10037730	16	string	united-kingdom
10037740	20	string	trinidad & tobago
10037754	12	string	south-korea
10037760	16	string	south-africa
10037770	12	string	south korea
1003777c	16	string	south africa
10037794	12	string	puerto-rico
100377a0	12	string	pr-china
100377ac	12	string	pr china
100377bc	12	string	new-zealand
100377c8	12	string	hong-kong
100377d4	8	string	holland
100377dc	16	string	great britain
100377ec	8	string	england
100377fc	8	string	china
10037804	8	string	britain
1003780c	8	string	america
10037820	8	string	swiss
10037828	16	string	swedish-finland
10037838	20	string	spanish-venezuela
1003784c	16	string	spanish-uruguay
1003785c	20	string	spanish-puerto rico
10037870	16	string	spanish-peru
10037880	20	string	spanish-paraguay
10037894	16	string	spanish-panama
100378a4	20	string	spanish-nicaragua
100378b8	16	string	spanish-modern
100378c8	16	string	spanish-mexican
100378d8	20	string	spanish-honduras
100378ec	20	string	spanish-guatemala
10037900	20	string	spanish-el salvador
10037914	16	string	spanish-ecuador
10037924	28	string	spanish-dominican republic
10037940	20	string	spanish-costa rica
10037954	20	string	spanish-colombia
10037968	16	string	spanish-chile
10037978	16	string	spanish-bolivia
10037988	20	string	spanish-argentina
