address	length	data_type	value
100526c4	12	string	No errors.\n
100526d0	28	string	old style non-VGA device
100526ec	32	string	old style VGA-compatible device
1005270c	20	string	SCSI bus controller
10052720	16	string	IDE Controller
10052730	20	string	floppy Controller
10052744	20	string	IPI bus controller
10052758	16	string	RAID controller
10052768	24	string	mass storage controller
10052780	20	string	ethernet controller
10052794	24	string	token ring controller
100527ac	16	string	FDDI controller
100527bc	16	string	ATM controller
100527cc	20	string	network controller
100527e0	36	string	VGA-compatible display controller
10052804	36	string	8514-compatible display controller
10052828	36	string	XGA-compatible display controller
1005284c	20	string	display controller
10052860	28	string	video multimedia adapter
1005287c	28	string	audio multimedia adapter
10052898	20	string	multimedia adapter
100528ac	16	string	RAM controller
100528bc	20	string	Flash controller
100528d0	20	string	memory controller
100528e4	20	string	450KX/GX (Orion)
100528f8	16	string	440FX (Natoma)
10052908	20	string	430HX (Triton II)
1005291c	20	string	430VX (Triton II)
10052930	24	string	430MX (Triton Mobile)
10052948	16	string	430FX (Triton)
10052958	28	string	430NX/LX (Neptune/Mercury)
10052974	12	string	Host bridge
10052980	12	string	ISA bridge
1005298c	12	string	EISA bridge
10052998	12	string	MCA bridge
100529a4	20	string	PCI-toPCI bridge
100529b8	16	string	PCMCIA bridge
100529c8	16	string	NuBus bridge
100529d8	16	string	CardBus bridge
100529e8	8	string	bridge
100529f0	32	string	XT-compatible serial controller
10052a10	36	string	16450-compatible serial controller
10052a34	36	string	16550-compatible serial controller
10052a58	16	string	parallel port
10052a68	28	string	bidirectional parallel port
10052a84	32	string	ECP 1.X compliant parallel port
10052aa4	24	string	communications device
10052ac8	8	string	ISA PIC
10052ad0	12	string	EISA PIC
10052adc	20	string	8237 DMA controller
10052af0	20	string	ISA DMA controller
10052b04	20	string	EISA DMA controller
10052b18	20	string	8254 system timer
10052b2c	20	string	ISA system timer
10052b40	20	string	EISA system timer
10052b54	24	string	generic RTC controller
10052b6c	20	string	ISA RTC controller
10052b80	20	string	system peripheral
10052b94	20	string	keyboard controller
10052ba8	16	string	pen digitizer
10052bb8	20	string	mouse controller
10052bcc	16	string	input device
10052bdc	24	string	generic docking station
10052bf4	16	string	docking station
10052c0c	8	string	Pentium
10052c14	8	string	Alpha
10052c1c	8	string	PowerPC
10052c24	16	string	co-processor
10052c34	24	string	FireWire( IEEE 1394 )
10052c4c	12	string	ACCESS.bus
10052c60	16	string	FibreChannel
10052c88	7	string	Avance
10052c90	8	string	Phoenix
10052c98	9	string	National
10052ca4	6	string	Tseng
10052cb0	7	string	Weitek
10052cb8	7	string	Cirrus
10052cd0	8	string	Trident
10052ce0	7	string	Matrox
10052ce8	6	string	C & T
10052d04	9	string	BusLogic
10052d20	12	string	Number 9
10052d2c	8	string	Apple
10052d44	12	string	Intergraph
10052d50	8	string	Diamond
10052d70	6	string	Tseng
10052d78	12	string	MediaVision
10052d84	8	string	Radius
10052da4	12	string	Creative
10052db0	12	string	Alliance
10052dc8	8	string	Adaptec
10052dd0	8	string	Intel
10052ddc	22	string	No PCI Bus detected.\n
10052df4	56	string	You must open the PCI library before it may be closed.\n
10052e2c	71	string	You must open the PCI library before you may call pciGetConfigData().\n
10052e74	32	string	Device_number is out of range.\n
10052e94	41	string	Cannot read from a non-existant device.\n
10052ec0	36	string	Cannot read a WRITE_ONLY register.\n
10052ee4	71	string	You must open the PCI library before you may call pciSetConfigData().\n
10052f2c	32	string	Device_number is out of range.\n
10052f4c	58	string	Cannot update config registers in a non-existant device.\n
10052f88	39	string	Cannot write to a READ_ONLY register.\n
10052fb0	72	string	You must call pciOpen() before you use any other library entry points.\n
