address	length	data_type	value
005425a4	10	string	\t%02d\t%s\n
005425b0	42	string	hunt directories is not set ... quitting\n
005425dc	9	string	binload:
005425e8	24	string	ferror for binary load\n
00542600	36	string	No path specified to look for [%s]\n
00542640	11	string	LAST_SOUND
0054264c	11	string	FLARE_SHOT
00542658	6	string	FLARE
00542660	17	string	SCOUT_REPAIRBEAM
00542674	14	string	SCOUT_TAKEOFF
00542684	16	string	SCOUT_POWERDOWN
00542694	15	string	SCOUT_GUN_FIRE
005426a4	15	string	SCOUT_INTERNAL
005426b4	6	string	SCOUT
005426bc	10	string	KEY_PRESS
005426c8	9	string	NEW_UNIT
005426d4	10	string	MINE_SCAN
005426e0	15	string	CALTROP_FLIGHT
005426f0	14	string	ZOOM_CONSTANT
00542700	13	string	ZOOM_IN_STOP
00542710	14	string	ZOOM_IN_START
00542720	12	string	UPLINK_BEEP
0054272c	13	string	PIERCER_SHOT
0054273c	13	string	THUMPER_SHOT
0054274c	17	string	PULSE_SHELL_SHOT
00542760	18	string	THUMPER_EXPLOSION
00542774	18	string	PIERCER_EXPLOSION
00542788	15	string	TANK_EXPLOSION
00542798	16	string	PULSE_EXPLOSION
005427a8	23	string	ORBITAL_BOMB_EXPLOSION
005427c0	12	string	SHIP_STRESS
005427cc	15	string	HEALTH_WARNING
005427dc	13	string	MESSAGE_HAIL
005427ec	13	string	ZOOMOUT_TAIL
005427fc	12	string	ZOOMOUT_MID
00542808	13	string	ZOOMOUT_HEAD
00542818	12	string	ZOOMIN_TAIL
00542824	11	string	ZOOMIN_MID
00542830	12	string	ZOOMIN_HEAD
0054283c	13	string	ZOOM_AMBIENT
0054284c	10	string	DARKLIGHT
00542858	14	string	TANK_INTERNAL
00542868	12	string	SELECT_MENU
00542874	15	string	SELECT_SUBMENU
00542884	17	string	SELECT_ITEM_DOWN
00542898	15	string	SELECT_ITEM_UP
005428a8	13	string	PULSE_FLIGHT
005428b8	15	string	THUMPER_FLIGHT
005428c8	15	string	PIERCER_FLIGHT
005428d8	17	string	SENTRY_TURN_TAIL
005428ec	19	string	SENTRY_TURN_MIDDLE
00542900	17	string	SENTRY_TURN_HEAD
00542914	11	string	TEST_SOUND
00542920	9	string	INCOMING
0054292c	20	string	TOURNAMENT_MODE_OFF
00542940	19	string	TOURNAMENT_MODE_ON
00542954	17	string	OUT_OF_FIRE_CONE
00542968	17	string	SPACESHIP_WARPIN
0054297c	20	string	SPACESHIP_EXPLOSION
00542990	18	string	GENERIC_EXPLOSION
005429a4	10	string	CLICK_ERR
005429b0	12	string	CLICK_MAJOR
005429bc	12	string	CLICK_MINOR
005429c8	17	string	SENTRY_RAID_WARN
005429dc	15	string	UNIT_EXPLOSION
005429ec	10	string	REPAIRING
005429f8	10	string	REFUELING
00542a04	11	string	ENTER_GAME
00542a10	15	string	MISSILE_RELOAD
00542a20	16	string	MISSILE_RELEASE
00542a30	15	string	MISSILE_FLIGHT
00542a40	16	string	MISSILE_SCHWOOP
00542a50	18	string	MISSILE_EXPLOSION
00542a64	11	string	BULLET_HIT
00542a70	12	string	BULLET_MISS
00542a7c	13	string	SKYPUMP_UNIT
00542a8c	12	string	ENERGY_UNIT
00542a98	12	string	FLAK_FLIGHT
00542aa4	10	string	FLAK_SHOT
00542ab0	15	string	FLAK_EXPLOSION
00542ac0	9	string	GUN_FIRE
00542acc	6	string	ERROR
00542ad4	14	string	invalid sound
00542ae8	56	string	seriously unknown, almost definitely catastrophic error
00542b20	37	string	unknown, probably catastrophic error
00542b48	13	string	end of input
00542b58	12	string	parse error
00542b64	14	string	type mismatch
00542b74	17	string	no such variable
00542b88	9	string	no error
00542b94	12	string	<directory>
00542ba8	6	string	false
00542bb0	7	string	string
00542bc0	8	string	integer
00542bc8	8	string	boolean
00542be0	7	string	, got\s
00542be8	13	string	\sarguments (
00542bf8	6	string	%lf%n
00542c00	7	string	%s %s\n
00542c08	6	string	\n:%s\n
00542c10	23	string	Type mismatch: wanted\s
00542c28	9	string	Too many
00542c34	8	string	maximum
00542c3c	11	string	Not enough
00542c50	25	string	Parse error at argument\s
00542c6c	19	string	Unknown command: "
00542c80	37	string	%s: Line %d: Error setting '%s': %s\n
00542ca8	45	string	%s: Line %d: Directory '%s' does not exist.\n
00542cd8	12	string	*uncharted*
00542cff	41	string	<seed_uni: ijkl = %d -- out of range\n\n
00542d37	49	string	@******************** Landscape load failed!\n
00542d68	6	string	%d %f
00542d70	6	string	%fx%f
00542d78	6	string	%dx%d
00542d80	6	string	/land
00542da6	42	string	x?Unable to open file '%s' for writing!\n
00542dd7	73	string	=does_line_hit_shpere didn't find intersection with constructed plane!\n
00542e37	49	string	>v1 (%.5f, %.5f, %.5f)  v2 (%.5f, %.5f, %.5f)\n
00542e68	14	string	v1 %x; v2 %x\n
00542ebd	19	string	@U@gravity_perc
00542ed0	24	string	max_speed_height_pickup
00542ee8	13	string	max_altitude
00542ef8	15	string	low_fuel_level
00542f08	13	string	max_velocity
00542f18	14	string	strafe_adjust
00542f28	21	string	move_backward_adjust
00542f40	20	string	move_forward_adjust
00542f54	12	string	turn_adjust
00542f77	37	string	?%s %d, make_request: points: %.1f\n
00542f9c	26	string	..\\shared\\kudos_proto.cpp
00542fb8	31	string	Kudos_Proto::KUDO_GRANT_UPDATE
00542fd8	22	string	Kudos_Proto::RESPONSE
00542ff0	12	string	endorsement
00542ffc	12	string	%15s %.2lf\n
00543008	7	string	points
00543010	12	string	dst_account
0054301c	12	string	dst_accname
00543028	9	string	%15s %u\n
00543034	12	string	src_account
00543040	21	string	Kudos_Proto::REQUEST
00543058	9	string	%15s %s\n
00543064	6	string	ptype
0054306c	19	string	Kudos_Proto::ERROR
0054308b	25	string	?              %s %d\n
005430a4	18	string	Assert fails: %s\n
005430b8	19	string	kassert violation\n
005430d8	6	string	%.0lf
00543115	15	string	lQ@move_adjust
00543140	6	string	[%s]\s
00543148	18	string	%Y %B %d %H:%M:%S
0054315c	8	string	_errlog
