address	type	comment
004c5358	PRE	57  CheckMenuItem  <<not bound>>
004c535c	PRE	403  InvalidateRect  <<not bound>>
004c5360	PRE	639  SetWindowLongA  <<not bound>>
004c5364	PRE	716  WaitForInputIdle  <<not bound>>
004c5368	PRE	469  MapVirtualKeyA  <<not bound>>
004c536c	PRE	289  GetKeyState  <<not bound>>
004c5370	PRE	478  MessageBoxA  <<not bound>>
004c5374	PRE	308  GetMenuItemInfoA  <<not bound>>
004c5378	PRE	398  InsertMenuItemA  <<not bound>>
004c537c	PRE	349  GetSystemMetrics  <<not bound>>
004c5380	PRE	121  DdeInitializeA  <<not bound>>
004c5384	PRE	110  DdeCreateStringHandleA  <<not bound>>
004c5388	PRE	107  DdeConnect  <<not bound>>
004c538c	PRE	105  DdeClientTransaction  <<not bound>>
004c5390	PRE	112  DdeDisconnect  <<not bound>>
004c5394	PRE	116  DdeFreeStringHandle  <<not bound>>
004c5398	PRE	134  DdeUninitialize  <<not bound>>
004c539c	PRE	290  GetKeyboardLayout  <<not bound>>
004c53a0	PRE	268  GetDC  <<not bound>>
004c53a4	PRE	553  ReleaseDC  <<not bound>>
004c53a8	PRE	277  GetDoubleClickTime  <<not bound>>
004c53ac	PRE	306  GetMenuItemCount  <<not bound>>
004c53b0	PRE	226  FillRect  <<not bound>>
004c53b8	PRE	136  InternetOpenA  <<not bound>>
004c53bc	PRE	107  InternetConnectA  <<not bound>>
004c53c0	PRE	82  HttpOpenRequestA  <<not bound>>
004c53c4	PRE	86  HttpSendRequestA  <<not bound>>
004c53c8	PRE	144  InternetReadFile  <<not bound>>
004c53cc	PRE	101  InternetCloseHandle  <<not bound>>
004c53d4	PRE	198  waveOutReset  <<not bound>>
004c53d8	PRE	204  waveOutWrite  <<not bound>>
004c53dc	PRE	197  waveOutPrepareHeader  <<not bound>>
004c53e0	PRE	168  waveInGetDevCapsA  <<not bound>>
004c53e4	PRE	189  waveOutGetNumDevs  <<not bound>>
004c53e8	PRE	203  waveOutUnprepareHeader  <<not bound>>
004c53ec	PRE	183  waveOutClose  <<not bound>>
004c53f0	PRE	195  waveOutOpen  <<not bound>>
004c53f4	PRE	184  waveOutGetDevCapsA  <<not bound>>
004c53f8	PRE	173  waveInGetNumDevs  <<not bound>>
004c53fc	PRE	179  waveInStart  <<not bound>>
004c5400	PRE	166  waveInAddBuffer  <<not bound>>
004c5404	PRE	180  waveInStop  <<not bound>>
004c5408	PRE	177  waveInPrepareHeader  <<not bound>>
004c540c	PRE	176  waveInOpen  <<not bound>>
004c5410	PRE	167  waveInClose  <<not bound>>
004c5414	PRE	181  waveInUnprepareHeader  <<not bound>>
004c5418	PRE	178  waveInReset  <<not bound>>
004c541c	PRE	163  timeGetTime  <<not bound>>
004c5420	PRE	160  timeEndPeriod  <<not bound>>
004c5424	PRE	159  timeBeginPeriod  <<not bound>>
004c5428	PRE	161  timeGetDevCaps  <<not bound>>
004c542c	PRE	165  timeSetEvent  <<not bound>>
004c5430	PRE	164  timeKillEvent  <<not bound>>
004c5438	PRE	21  Ordinal_21  <<not bound>>
004c543c	PRE	115  Ordinal_115  <<not bound>>
004c5440	PRE	116  Ordinal_116  <<not bound>>
004c5444	PRE	9  Ordinal_9  <<not bound>>
004c5448	PRE	8  Ordinal_8  <<not bound>>
004c544c	PRE	52  Ordinal_52  <<not bound>>
004c5450	PRE	10  Ordinal_10  <<not bound>>
004c5458	PRE	9  GetOpenFileNameA  <<not bound>>
004c545c	PRE	11  GetSaveFileNameA  <<not bound>>
004c5460	PRE	16  PrintDlgA  <<not bound>>
004c5468	PRE	104  CoUninitialize  <<not bound>>
004c546c	PRE	28  CoFreeUnusedLibraries  <<not bound>>
004c5470	PRE	99  CoTaskMemAlloc  <<not bound>>
004c5474	PRE	100  CoTaskMemFree  <<not bound>>
004c5478	PRE	58  CoInitialize  <<not bound>>
004c547c	PRE	16  CoCreateInstance  <<not bound>>
004cfc20	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfc34	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfc48	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfc5c	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfc70	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfc84	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfc98	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfcac	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfcc0	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfcd4	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfce8	PLATE	IMAGE_IMPORT_DESCRIPTOR
004cfd10	EOL	IMAGE_THUNK_DATA32
004cfd14	EOL	IMAGE_THUNK_DATA32
004cfd18	EOL	IMAGE_THUNK_DATA32
004cfd1c	EOL	IMAGE_THUNK_DATA32
004cfd20	EOL	IMAGE_THUNK_DATA32
004cfd24	EOL	IMAGE_THUNK_DATA32
004cfd2c	EOL	IMAGE_THUNK_DATA32
004cfd30	EOL	IMAGE_THUNK_DATA32
004cfd34	EOL	IMAGE_THUNK_DATA32
004cfd38	EOL	IMAGE_THUNK_DATA32
004cfd3c	EOL	IMAGE_THUNK_DATA32
004cfd40	EOL	IMAGE_THUNK_DATA32
004cfd44	EOL	IMAGE_THUNK_DATA32
004cfd48	EOL	IMAGE_THUNK_DATA32
004cfd4c	EOL	IMAGE_THUNK_DATA32
004cfd50	EOL	IMAGE_THUNK_DATA32
004cfd54	EOL	IMAGE_THUNK_DATA32
004cfd58	EOL	IMAGE_THUNK_DATA32
004cfd5c	EOL	IMAGE_THUNK_DATA32
004cfd60	EOL	IMAGE_THUNK_DATA32
004cfd64	EOL	IMAGE_THUNK_DATA32
004cfd68	EOL	IMAGE_THUNK_DATA32
004cfd6c	EOL	IMAGE_THUNK_DATA32
004cfd70	EOL	IMAGE_THUNK_DATA32
004cfd74	EOL	IMAGE_THUNK_DATA32
004cfd78	EOL	IMAGE_THUNK_DATA32
004cfd7c	EOL	IMAGE_THUNK_DATA32
004cfd80	EOL	IMAGE_THUNK_DATA32
004cfd84	EOL	IMAGE_THUNK_DATA32
004cfd88	EOL	IMAGE_THUNK_DATA32
004cfd8c	EOL	IMAGE_THUNK_DATA32
004cfd90	EOL	IMAGE_THUNK_DATA32
004cfd94	EOL	IMAGE_THUNK_DATA32
004cfd98	EOL	IMAGE_THUNK_DATA32
004cfd9c	EOL	IMAGE_THUNK_DATA32
004cfda0	EOL	IMAGE_THUNK_DATA32
004cfda4	EOL	IMAGE_THUNK_DATA32
004cfda8	EOL	IMAGE_THUNK_DATA32
004cfdac	EOL	IMAGE_THUNK_DATA32
004cfdb0	EOL	IMAGE_THUNK_DATA32
004cfdb4	EOL	IMAGE_THUNK_DATA32
004cfdb8	EOL	IMAGE_THUNK_DATA32
004cfdbc	EOL	IMAGE_THUNK_DATA32
004cfdc0	EOL	IMAGE_THUNK_DATA32
004cfdc4	EOL	IMAGE_THUNK_DATA32
004cfdc8	EOL	IMAGE_THUNK_DATA32
004cfdcc	EOL	IMAGE_THUNK_DATA32
