epoch_s,x,y,z,vx,vy,vz,yaw
1781573377.233870,5429.723145,5181.243652,51.613853,30.200296,19.249992,4.212723,6.166306
1781573377.334112,5432.780762,5183.190430,52.105282,30.261225,19.253996,5.434021,6.165101
1781573377.434043,5435.808105,5185.115234,52.685753,30.323233,19.250160,6.079467,6.163756
1781573377.533957,5438.805664,5187.022949,53.297672,30.379478,19.249182,6.211450,6.169991
1781573377.633826,5439.563477,5187.504395,53.452690,30.388626,19.255884,6.186788,6.174263
1781573377.734083,5443.028809,5189.702637,54.147114,30.401665,19.326872,5.959802,6.203313
1781573377.833831,5446.126953,5191.682129,54.739487,30.344656,19.485695,5.655359,6.238175
1781573377.934173,5449.213867,5193.684570,55.305027,30.186010,19.776337,5.433688,6.266365
1781573378.034267,5452.251465,5195.700684,55.850864,29.959885,20.142208,5.374997,0.005230
1781573378.134066,5455.234375,5197.734863,56.393581,29.694416,20.542122,5.479341,0.022443
1781573378.234025,5458.218750,5199.830566,56.956078,29.404198,20.956959,5.659212,0.036101
1781573378.333779,5461.202637,5201.989258,57.540085,29.103050,21.368597,5.791904,0.046845
1781573378.434231,5464.098633,5204.145020,58.118675,28.812002,21.749701,5.779870,0.054990
1781573378.533864,5466.994629,5206.360840,58.698559,28.530600,22.124899,5.703001,0.061332
1781573378.633742,5469.666016,5208.433594,59.257931,24.364925,18.916248,5.373644,0.066140
1781573378.733903,5471.940430,5210.199219,59.923920,20.673632,16.050430,7.814266,0.069575
1781573378.834195,5473.887695,5211.710938,60.917343,17.510559,13.594709,11.664660,0.071763
1781573378.933990,5476.196289,5213.503418,62.735359,13.839596,10.744676,12.333649,0.070327
1781573379.034152,5477.486816,5214.543945,63.938282,11.599604,10.606121,11.536922,0.061832
1781573379.133906,5478.533691,5215.669434,65.046822,9.410193,11.879307,10.601024,0.054650
1781573379.233887,5479.363281,5216.890137,66.037376,7.537879,13.041189,9.591043,0.048922
1781573379.334163,5480.037598,5218.247559,66.947945,5.973842,14.117472,8.601170,0.043755
1781573379.434078,5480.569824,5219.723145,67.770378,4.593358,15.087286,7.732900,0.038663
1781573379.534071,5480.973145,5221.290527,68.520050,3.410844,15.916595,7.155549,0.033668
1781573379.633954,5481.261719,5222.918457,69.217308,2.410114,16.629131,6.822519,0.028718
1781573379.734226,5481.460938,5224.598145,69.878815,1.579491,17.295994,6.533052,0.023776
1781573379.833954,5481.580078,5226.338867,70.509644,0.864643,17.868139,6.203176,0.018812
1781573379.933970,5481.634766,5228.168945,71.116112,0.237938,18.367966,5.794735,0.013774
1781573380.033830,5481.630371,5230.045898,71.678192,-0.300041,18.795273,5.332222,0.008834
1781573380.134076,5481.581055,5231.923828,72.185425,-0.224625,19.086599,5.060179,0.004150
1781573380.234018,5481.696289,5233.847168,72.719482,2.431180,19.001596,5.485652,6.282752
1781573380.334137,5482.055176,5235.748535,73.289330,4.679330,18.913746,5.951633,6.278371
1781573380.434215,5482.622070,5237.629883,73.920082,6.600608,18.823517,6.719970,6.274059
1781573380.533942,5483.357910,5239.490234,74.634392,8.224660,18.732737,7.725658,6.269866
1781573380.634087,5484.261719,5241.380859,75.465904,9.636288,18.639605,8.724657,6.265767
1781573380.734035,5485.286133,5243.236816,76.381638,10.823525,18.547966,9.556581,6.261992
1781573380.834123,5486.407227,5245.073242,77.360031,11.822194,18.458952,10.173799,6.258601
1781573380.934111,5487.634766,5246.911621,78.399673,12.678429,18.371834,10.584799,6.255563
1781573381.033871,5488.929688,5248.708496,79.458023,13.569253,17.298767,10.635524,6.252934
1781573381.134148,5490.358398,5250.303223,80.522011,14.676693,14.377054,10.486761,6.250612
1781573381.234209,5491.890625,5251.624512,81.581352,15.619607,11.860735,10.497824,6.248616
1781573381.333874,5493.477051,5252.691406,82.620827,16.409178,9.749669,10.490431,6.246936
1781573381.433991,5495.154297,5253.571777,83.666908,17.090067,7.912076,10.423107,6.245477
1781573381.534183,5496.910156,5254.287109,84.714355,17.675667,6.312586,10.312686,6.244207
