entry	name	full_name	namespace	name_source	signature_source	calling_convention	return_type	parameter_count	is_thunk	thunk_target	is_external	body_ranges	comment	repeatable_comment	prototype
100068c0	FUN_100068c0	FUN_100068c0	Global	DEFAULT	ANALYSIS	__cdecl	undefined4	3	false	\N	false	100068c0-1000697f	\N	\N	undefined4 __cdecl FUN_100068c0(float * param_1, float * param_2, float * param_3)
10006980	grAADrawPolygon	grAADrawPolygon	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	10006980-10006a61	__stdcall grAADrawPolygon,12	\N	undefined __stdcall grAADrawPolygon(int param_1, int * param_2, int param_3)
10006a70	grAADrawPolygonVertexList	grAADrawPolygonVertexList	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	10006a70-10006afe	__stdcall grAADrawPolygonVertexList,8	\N	undefined __stdcall grAADrawPolygonVertexList(int param_1, float * param_2)
10006b00	grDrawPoint	grDrawPoint	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10006b00-10006dec	__stdcall grDrawPoint,4	\N	undefined __stdcall grDrawPoint(float * param_1)
10006df0	grDrawLine	grDrawLine	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	10006df0-100076a1	__stdcall grDrawLine,8	\N	undefined __stdcall grDrawLine(float * param_1, float * param_2)
100076b0	grDrawTriangle	grDrawTriangle	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	100076b0-100076c6	__stdcall grDrawTriangle,12	\N	undefined __stdcall grDrawTriangle(float * param_1, float * param_2, float * param_3)
100076d0	grDrawPlanarPolygon	grDrawPlanarPolygon	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	0	false	\N	false	100076d0-100076d2	__stdcall grDrawPlanarPolygon,12	\N	undefined __stdcall grDrawPlanarPolygon(void)
100076e0	grDrawPlanarPolygonVertexList	grDrawPlanarPolygonVertexList	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	100076e0-1000774a	__stdcall grDrawPlanarPolygonVertexList,8	\N	undefined __stdcall grDrawPlanarPolygonVertexList(int param_1, float * param_2)
10007750	grDrawPolygon	grDrawPolygon	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	10007750-100077ab	__stdcall grDrawPolygon,12	\N	undefined __stdcall grDrawPolygon(int param_1, int * param_2, int param_3)
100077b0	grDrawPolygonVertexList	grDrawPolygonVertexList	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	100077b0-100077df	__stdcall grDrawPolygonVertexList,8	\N	undefined __stdcall grDrawPolygonVertexList(int param_1, float * param_2)
100077e0	FUN_100077e0	FUN_100077e0	Global	DEFAULT	ANALYSIS	__stdcall	undefined	1	false	\N	false	100077e0-10007a39	\N	\N	undefined __stdcall FUN_100077e0(int param_1)
10007a40	grAlphaBlendFunction	grAlphaBlendFunction	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	4	false	\N	false	10007a40-10007b0e	__stdcall grAlphaBlendFunction,16	\N	undefined __stdcall grAlphaBlendFunction(uint param_1, int param_2, int param_3, int param_4)
10007b10	grAlphaCombine	grAlphaCombine	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	5	false	\N	false	10007b10-10007cb4	__stdcall grAlphaCombine,20	\N	undefined __stdcall grAlphaCombine(undefined4 param_1, uint param_2, int param_3, int param_4, int param_5)
10007cf0	grAlphaControlsITRGBLighting	grAlphaControlsITRGBLighting	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10007cf0-10007d75	__stdcall grAlphaControlsITRGBLighting,4	\N	undefined __stdcall grAlphaControlsITRGBLighting(int param_1)
10007d80	grAlphaTestFunction	grAlphaTestFunction	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10007d80-10007e02	__stdcall grAlphaTestFunction,4	\N	undefined __stdcall grAlphaTestFunction(int param_1)
10007e10	grAlphaTestReferenceValue	grAlphaTestReferenceValue	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10007e10-10007e8e	__stdcall grAlphaTestReferenceValue,4	\N	undefined __stdcall grAlphaTestReferenceValue(byte param_1)
10007e90	grBufferClear	grBufferClear	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	10007e90-100081e8	__stdcall grBufferClear,12	\N	undefined __stdcall grBufferClear(uint param_1, byte param_2, uint param_3)
100081f0	grBufferSwap	grBufferSwap	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	100081f0-10008222	__stdcall grBufferSwap,4	\N	undefined __stdcall grBufferSwap(undefined4 param_1)
10008230	grBufferNumPending	grBufferNumPending	Global	ANALYSIS	ANALYSIS	__stdcall	uint	0	false	\N	false	10008230-1000823b	__stdcall grBufferNumPending,0	\N	uint __stdcall grBufferNumPending(void)
10008240	grChromakeyMode	grChromakeyMode	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10008240-100082c0	__stdcall grChromakeyMode,4	\N	undefined __stdcall grChromakeyMode(int param_1)
100082d0	grChromakeyValue	grChromakeyValue	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	100082d0-1000834e	__stdcall grChromakeyValue,4	\N	undefined __stdcall grChromakeyValue(uint param_1)
