address	type	comment
1001d2d0	PLATE	Library Function - Single Match\n _doexit\n\nLibrary: Visual Studio 1998 Release
1001d380	PLATE	Library Function - Single Match\n __initterm\n\nLibrary: Visual Studio 1998 Release
1001d3a0	PLATE	Library Function - Single Match\n __CRT_INIT@12\n\nLibrary: Visual Studio 1998 Release
1001d590	PLATE	Library Function - Single Match\n __amsg_exit\n\nLibrary: Visual Studio 1998 Release
1001d6c0	PLATE	Library Function - Single Match\n _fflush\n\nLibrary: Visual Studio 1998 Release
1001d710	PLATE	Library Function - Single Match\n __flush\n\nLibrary: Visual Studio 1998 Release
1001d790	PLATE	Library Function - Single Match\n _flsall\n\nLibrary: Visual Studio 1998 Release
1001d820	PLATE	Library Function - Single Match\n _vfprintf\n\nLibrary: Visual Studio 1998 Release
1001d860	PLATE	Library Function - Single Match\n _fprintf\n\nLibrary: Visual Studio 1998 Release
1001d8a0	PLATE	Library Function - Single Match\n _printf\n\nLibrary: Visual Studio 1998 Release
1001d8e0	PLATE	Library Function - Multiple Matches With Different Base Names\n __toupper_lk\n _toupper\n\nLibrary: Visual Studio 1998 Release
1001d9d0	PLATE	Library Function - Single Match\n __isctype\n\nLibrary: Visual Studio 1998 Release
1001da70	PLATE	Library Function - Single Match\n _fgetc\n\nLibrary: Visual Studio 1998 Release
1001daa0	PLATE	Library Function - Single Match\n _strtok\n\nLibrary: Visual Studio 1998 Release
1001db80	PLATE	Library Function - Multiple Matches With Different Base Names\n __tolower_lk\n _tolower\n\nLibrary: Visual Studio 1998 Release
1001dc70	PLATE	Library Function - Single Match\n _atof\n\nLibrary: Visual Studio 1998 Release
1001dcd0	PLATE	Library Function - Single Match\n __setdefaultprecision\n\nLibrary: Visual Studio 1998 Release
1001dcf0	PLATE	Library Function - Single Match\n __ms_p5_test_fdiv\n\nLibrary: Visual Studio 1998 Release
1001dd40	PLATE	Library Function - Single Match\n __ms_p5_mp_test_fdiv\n\nLibrary: Visual Studio 1998 Release
1001deb0	PLATE	Library Function - Single Match\n __cftoe\n\nLibrary: Visual Studio 1998 Release
1001dff0	PLATE	Library Function - Single Match\n __cftof\n\nLibrary: Visual Studio 1998 Release
1001e0f0	PLATE	Library Function - Single Match\n __cftog\n\nLibrary: Visual Studio 1998 Release
1001e1a0	PLATE	Library Function - Single Match\n __cftoe_g\n\nLibrary: Visual Studio 1998 Release
1001e1d0	PLATE	Library Function - Single Match\n __cftof_g\n\nLibrary: Visual Studio 1998 Release
